Frequency (Hz)	Level (dB)
43.066406	-32.757603
86.132812	-28.403553
129.199219	-26.710594
172.265625	-25.569008
215.332031	-24.695734
258.398438	-24.337433
301.464844	-24.084436
344.531250	-23.957417
387.597656	-23.855402
430.664062	-23.607536
473.730469	-23.550858
516.796875	-23.594452
559.863281	-23.525991
602.929688	-23.491623
645.996094	-23.511440
689.062500	-24.111900
732.128906	-24.177021
775.195312	-24.503317
818.261719	-24.852863
861.328125	-24.888708
904.394531	-25.275286
947.460938	-25.220648
990.527344	-25.139439
1033.593750	-25.571695
1076.660156	-25.323652
1119.726562	-25.550245
1162.792969	-25.723152
1205.859375	-26.569206
1248.925781	-26.735922
1291.992188	-27.092304
1335.058594	-26.824739
1378.125000	-26.576006
1421.191406	-27.187086
1464.257812	-27.519144
1507.324219	-27.484457
1550.390625	-27.704479
1593.457031	-28.185593
1636.523438	-28.249346
1679.589844	-28.321442
1722.656250	-28.300625
1765.722656	-28.650173
1808.789062	-29.180763
1851.855469	-29.117052
1894.921875	-29.537962
1937.988281	-29.148476
1981.054688	-29.104609
2024.121094	-29.404957
2067.187500	-29.321739
2110.253906	-29.539305
2153.320312	-29.761751
2196.386719	-29.955189
2239.453125	-29.505039
2282.519531	-29.640688
2325.585938	-30.005444
2368.652344	-30.204857
2411.718750	-30.488607
2454.785156	-30.966057
2497.851562	-30.548349
2540.917969	-30.518410
2583.984375	-31.012247
2627.050781	-31.266878
2670.117188	-30.893642
2713.183594	-30.639908
2756.250000	-31.096409
2799.316406	-31.530283
2842.382812	-31.701206
2885.449219	-31.581257
2928.515625	-31.357834
2971.582031	-31.836836
3014.648438	-32.043297
3057.714844	-31.688387
3100.781250	-31.596020
3143.847656	-31.644442
3186.914062	-31.480268
3229.980469	-32.090744
3273.046875	-32.203377
3316.113281	-32.179287
3359.179688	-32.630428
3402.246094	-32.783939
3445.312500	-32.692719
3488.378906	-32.506142
3531.445312	-32.646130
3574.511719	-32.828121
3617.578125	-33.270287
3660.644531	-32.794353
3703.710938	-32.741234
