Frequency,dB,pedal,Tone,Gain
4909.570312,-6.929137999999998,blues driver - C,0%,0%,
4952.636719,-7.762682999999999,blues driver - C,0%,0%,
4995.703125,-7.1261370000000035,blues driver - C,0%,0%,
5038.769531,-7.7800290000000025,blues driver - C,0%,0%,
5081.835938,-7.746818000000001,blues driver - C,0%,0%,
5124.902344,-7.211365000000004,blues driver - C,0%,0%,
5167.96875,-7.441970000000001,blues driver - C,0%,0%,
5211.035156,-7.065093999999998,blues driver - C,0%,0%,
5254.101562,-8.268306000000006,blues driver - C,0%,0%,
5297.167969,-7.848426,blues driver - C,0%,0%,
5340.234375,-8.320037000000003,blues driver - C,0%,0%,
5383.300781,-7.533739999999998,blues driver - C,0%,0%,
5426.367188,-7.241302000000001,blues driver - C,0%,0%,
5469.433594,-8.296943000000002,blues driver - C,0%,0%,
5512.5,-7.956219000000001,blues driver - C,0%,0%,
5555.566406,-8.353859000000003,blues driver - C,0%,0%,
5598.632812,-8.693847000000002,blues driver - C,0%,0%,
5641.699219,-8.721088000000005,blues driver - C,0%,0%,
5684.765625,-8.455261000000004,blues driver - C,0%,0%,
5727.832031,-8.501216000000003,blues driver - C,0%,0%,
5770.898438,-8.423621999999998,blues driver - C,0%,0%,
5813.964844,-8.336403000000008,blues driver - C,0%,0%,
5857.03125,-7.932841999999997,blues driver - C,0%,0%,
5900.097656,-8.742672000000002,blues driver - C,0%,0%,
5943.164062,-8.946212999999997,blues driver - C,0%,0%,
5986.230469,-8.547947000000004,blues driver - C,0%,0%,
6029.296875,-8.190420999999997,blues driver - C,0%,0%,
6072.363281,-8.860592,blues driver - C,0%,0%,
6115.429688,-9.909721000000001,blues driver - C,0%,0%,
6158.496094,-10.105613000000002,blues driver - C,0%,0%,
6201.5625,-10.357707000000001,blues driver - C,0%,0%,
6244.628906,-8.760101000000002,blues driver - C,0%,0%,
6287.695312,-8.764091000000004,blues driver - C,0%,0%,
6330.761719,-8.726173,blues driver - C,0%,0%,
6373.828125,-7.932632000000002,blues driver - C,0%,0%,
6416.894531,-7.997153999999998,blues driver - C,0%,0%,
6459.960938,-8.261452000000002,blues driver - C,0%,0%,
6503.027344,-8.208446000000006,blues driver - C,0%,0%,
6546.09375,-9.469874999999998,blues driver - C,0%,0%,
6589.160156,-9.833996000000003,blues driver - C,0%,0%,
6632.226562,-9.158249000000001,blues driver - C,0%,0%,
6675.292969,-9.480453000000008,blues driver - C,0%,0%,
6718.359375,-9.007576000000004,blues driver - C,0%,0%,
6761.425781,-9.665306000000005,blues driver - C,0%,0%,
6804.492188,-8.520214000000006,blues driver - C,0%,0%,
6847.558594,-8.929405,blues driver - C,0%,0%,
6890.625,-9.514049000000004,blues driver - C,0%,0%,
6933.691406,-8.908054000000003,blues driver - C,0%,0%,
6976.757812,-8.698779999999996,blues driver - C,0%,0%,
7019.824219,-8.464797999999998,blues driver - C,0%,0%,
7062.890625,-9.025600000000008,blues driver - C,0%,0%,
7105.957031,-8.652792999999999,blues driver - C,0%,0%,
7149.023438,-9.320991000000003,blues driver - C,0%,0%,
7192.089844,-8.750204999999998,blues driver - C,0%,0%,
7235.15625,-8.948002000000006,blues driver - C,0%,0%,
7278.222656,-8.092265999999999,blues driver - C,0%,0%,
7321.289062,-8.384209000000002,blues driver - C,0%,0%,
7364.355469,-8.726679999999998,blues driver - C,0%,0%,
7407.421875,-8.161834000000002,blues driver - C,0%,0%,
7450.488281,-8.331107,blues driver - C,0%,0%,
7493.554688,-9.278057,blues driver - C,0%,0%,
7536.621094,-9.410858000000001,blues driver - C,0%,0%,
7579.6875,-10.491741000000008,blues driver - C,0%,0%,
7622.753906,-10.360694999999996,blues driver - C,0%,0%,
7665.820312,-9.052258000000005,blues driver - C,0%,0%,
7708.886719,-9.243904000000004,blues driver - C,0%,0%,
7751.953125,-8.548798000000001,blues driver - C,0%,0%,
7795.019531,-8.11422,blues driver - C,0%,0%,
7838.085938,-8.633475999999998,blues driver - C,0%,0%,
7881.152344,-10.552150000000001,blues driver - C,0%,0%,
7924.21875,-10.284763000000002,blues driver - C,0%,0%,
7967.285156,-8.902896000000002,blues driver - C,0%,0%,
8010.351562,-10.020328000000003,blues driver - C,0%,0%,
8053.417969,-9.642620000000004,blues driver - C,0%,0%,
8096.484375,-9.502006000000005,blues driver - C,0%,0%,
8139.550781,-10.352321,blues driver - C,0%,0%,
8182.617188,-10.976851999999997,blues driver - C,0%,0%,
8225.683594,-10.741663999999997,blues driver - C,0%,0%,
8268.75,-10.200501000000006,blues driver - C,0%,0%,
8311.816406,-10.269504000000001,blues driver - C,0%,0%,
8354.882812,-9.735313000000009,blues driver - C,0%,0%,
8397.949219,-9.689724000000002,blues driver - C,0%,0%,
8441.015625,-10.226028000000003,blues driver - C,0%,0%,
8484.082031,-10.163566,blues driver - C,0%,0%,
8527.148438,-9.807044999999999,blues driver - C,0%,0%,
8570.214844,-9.054027999999999,blues driver - C,0%,0%,
8613.28125,-9.368870000000005,blues driver - C,0%,0%,
8656.347656,-11.249985000000006,blues driver - C,0%,0%,
8699.414062,-9.770782,blues driver - C,0%,0%,
8742.480469,-10.767551999999998,blues driver - C,0%,0%,
8785.546875,-8.598186000000002,blues driver - C,0%,0%,
8828.613281,-8.424319999999998,blues driver - C,0%,0%,
8871.679688,-9.859260000000003,blues driver - C,0%,0%,
8914.746094,-9.767623000000004,blues driver - C,0%,0%,
8957.8125,-10.141647000000003,blues driver - C,0%,0%,
9000.878906,-10.675140000000003,blues driver - C,0%,0%,
9043.945312,-10.534519000000007,blues driver - C,0%,0%,
9087.011719,-9.941615000000002,blues driver - C,0%,0%,
9130.078125,-10.361492000000002,blues driver - C,0%,0%,
9173.144531,-9.581848000000004,blues driver - C,0%,0%,
9216.210938,-10.148425000000007,blues driver - C,0%,0%,
9259.277344,-9.293942000000005,blues driver - C,0%,0%,
9302.34375,-8.071095000000003,blues driver - C,0%,0%,
9345.410156,-9.653873,blues driver - C,0%,0%,
9388.476562,-9.833988000000002,blues driver - C,0%,0%,
9431.542969,-8.962887000000006,blues driver - C,0%,0%,
9474.609375,-9.866139000000008,blues driver - C,0%,0%,
9517.675781,-10.521682000000002,blues driver - C,0%,0%,
9560.742188,-9.491493000000002,blues driver - C,0%,0%,
9603.808594,-10.551777000000005,blues driver - C,0%,0%,
9646.875,-9.665817000000008,blues driver - C,0%,0%,
9689.941406,-10.661403000000004,blues driver - C,0%,0%,
9733.007812,-10.582600000000003,blues driver - C,0%,0%,
9776.074219,-10.134274000000001,blues driver - C,0%,0%,
9819.140625,-8.895855000000001,blues driver - C,0%,0%,
9862.207031,-8.646857999999998,blues driver - C,0%,0%,
9905.273438,-9.112552000000004,blues driver - C,0%,0%,
9948.339844,-10.060089000000001,blues driver - C,0%,0%,
9991.40625,-10.954662000000003,blues driver - C,0%,0%,
10034.472656,-9.407978000000004,blues driver - C,0%,0%,
10077.539062,-9.762191999999995,blues driver - C,0%,0%,
10120.605469,-9.317054000000002,blues driver - C,0%,0%,
10163.671875,-9.474880000000002,blues driver - C,0%,0%,
10206.738281,-8.866031000000003,blues driver - C,0%,0%,
10249.804688,-8.406833000000002,blues driver - C,0%,0%,
10292.871094,-9.959679000000005,blues driver - C,0%,0%,
10335.9375,-11.434448,blues driver - C,0%,0%,
10379.003906,-10.699245000000001,blues driver - C,0%,0%,
10422.070312,-10.451153000000001,blues driver - C,0%,0%,
10465.136719,-9.434334000000003,blues driver - C,0%,0%,
10508.203125,-9.638500000000004,blues driver - C,0%,0%,
10551.269531,-10.804188000000007,blues driver - C,0%,0%,
10594.335938,-10.403327999999998,blues driver - C,0%,0%,
10637.402344,-10.029224000000003,blues driver - C,0%,0%,
10680.46875,-9.525490000000001,blues driver - C,0%,0%,
