Frequency,dB,pedal,Tone,Gain
4823.4375,-18.58114299999999,nobels odr-1,0%,0%,
4866.503906,-18.542064999999994,nobels odr-1,0%,0%,
4909.570312,-18.56415899999999,nobels odr-1,0%,0%,
4952.636719,-20.12982999999999,nobels odr-1,0%,0%,
4995.703125,-16.953335000000003,nobels odr-1,0%,0%,
5038.769531,-16.626632999999998,nobels odr-1,0%,0%,
5081.835938,-18.208812999999992,nobels odr-1,0%,0%,
5124.902344,-18.515640999999995,nobels odr-1,0%,0%,
5167.96875,-19.809222999999996,nobels odr-1,0%,0%,
5211.035156,-18.91753,nobels odr-1,0%,0%,
5254.101562,-19.034027999999992,nobels odr-1,0%,0%,
5297.167969,-17.28727399999999,nobels odr-1,0%,0%,
5340.234375,-16.930232999999994,nobels odr-1,0%,0%,
5383.300781,-17.83636099999999,nobels odr-1,0%,0%,
5426.367188,-16.830993,nobels odr-1,0%,0%,
5469.433594,-17.549147999999988,nobels odr-1,0%,0%,
5512.5,-17.319698999999986,nobels odr-1,0%,0%,
5555.566406,-17.052727000000004,nobels odr-1,0%,0%,
5598.632812,-17.952439,nobels odr-1,0%,0%,
5641.699219,-17.409026999999988,nobels odr-1,0%,0%,
5684.765625,-16.825222000000004,nobels odr-1,0%,0%,
5727.832031,-17.101237999999995,nobels odr-1,0%,0%,
5770.898438,-17.302398999999987,nobels odr-1,0%,0%,
5813.964844,-17.000846999999993,nobels odr-1,0%,0%,
5857.03125,-16.324479000000004,nobels odr-1,0%,0%,
5900.097656,-18.22477,nobels odr-1,0%,0%,
5943.164062,-16.815242999999995,nobels odr-1,0%,0%,
5986.230469,-17.733435999999998,nobels odr-1,0%,0%,
6029.296875,-17.503548000000002,nobels odr-1,0%,0%,
6072.363281,-16.529197999999994,nobels odr-1,0%,0%,
6115.429688,-17.953381,nobels odr-1,0%,0%,
6158.496094,-16.813750999999996,nobels odr-1,0%,0%,
6201.5625,-16.95478099999999,nobels odr-1,0%,0%,
6244.628906,-16.61179699999999,nobels odr-1,0%,0%,
6287.695312,-16.10210399999999,nobels odr-1,0%,0%,
6330.761719,-17.267512999999994,nobels odr-1,0%,0%,
