Frequency,dB,pedal,Tone,Gain
5512.5,-23.607771,morning glory,0%,0%,
5555.566406,-22.849649,morning glory,0%,0%,
5598.632812,-22.257818,morning glory,0%,0%,
5641.699219,-22.481054999999998,morning glory,0%,0%,
5684.765625,-22.373933,morning glory,0%,0%,
5727.832031,-22.130785000000003,morning glory,0%,0%,
5770.898438,-22.421728,morning glory,0%,0%,
5813.964844,-23.031885000000003,morning glory,0%,0%,
5857.03125,-22.177744000000004,morning glory,0%,0%,
5900.097656,-22.345408000000006,morning glory,0%,0%,
5943.164062,-23.065508,morning glory,0%,0%,
5986.230469,-22.956331,morning glory,0%,0%,
6029.296875,-22.828809,morning glory,0%,0%,
6072.363281,-22.363458,morning glory,0%,0%,
6115.429688,-23.256914000000002,morning glory,0%,0%,
6158.496094,-23.405855000000003,morning glory,0%,0%,
6201.5625,-23.467779999999998,morning glory,0%,0%,
6244.628906,-22.976670999999996,morning glory,0%,0%,
6287.695312,-22.35586,morning glory,0%,0%,
6330.761719,-21.775827,morning glory,0%,0%,
6373.828125,-22.509653,morning glory,0%,0%,
6416.894531,-22.777232000000005,morning glory,0%,0%,
6459.960938,-23.134444000000002,morning glory,0%,0%,
6503.027344,-23.485937,morning glory,0%,0%,
6546.09375,-23.836751999999997,morning glory,0%,0%,
6589.160156,-23.202165,morning glory,0%,0%,
6632.226562,-22.915734999999998,morning glory,0%,0%,
6675.292969,-23.461675,morning glory,0%,0%,
6718.359375,-23.322973000000005,morning glory,0%,0%,
6761.425781,-23.763677,morning glory,0%,0%,
6804.492188,-23.994242000000007,morning glory,0%,0%,
6847.558594,-23.728945000000003,morning glory,0%,0%,
6890.625,-23.860296000000005,morning glory,0%,0%,
6933.691406,-23.853158999999998,morning glory,0%,0%,
6976.757812,-22.922970999999997,morning glory,0%,0%,
7019.824219,-23.242666,morning glory,0%,0%,
7062.890625,-23.07054,morning glory,0%,0%,
7105.957031,-23.596651,morning glory,0%,0%,
7149.023438,-23.809862000000003,morning glory,0%,0%,
7192.089844,-23.635164000000003,morning glory,0%,0%,
7235.15625,-23.420923000000002,morning glory,0%,0%,
7278.222656,-23.428614000000003,morning glory,0%,0%,
7321.289062,-23.061445000000006,morning glory,0%,0%,
7364.355469,-23.747004000000004,morning glory,0%,0%,
7407.421875,-24.47164,morning glory,0%,0%,
7450.488281,-24.32780300000001,morning glory,0%,0%,
7493.554688,-23.865671000000006,morning glory,0%,0%,
7536.621094,-23.987356000000005,morning glory,0%,0%,
7579.6875,-24.127126000000004,morning glory,0%,0%,
7622.753906,-23.84467500000001,morning glory,0%,0%,
7665.820312,-23.735231,morning glory,0%,0%,
7708.886719,-24.114729000000004,morning glory,0%,0%,
7751.953125,-24.172799999999995,morning glory,0%,0%,
7795.019531,-24.46470500000001,morning glory,0%,0%,
7838.085938,-24.463361,morning glory,0%,0%,
7881.152344,-24.660204,morning glory,0%,0%,
7924.21875,-24.776567999999997,morning glory,0%,0%,
7967.285156,-24.905630000000002,morning glory,0%,0%,
8010.351562,-25.461718000000005,morning glory,0%,0%,
8053.417969,-25.844766000000007,morning glory,0%,0%,
8096.484375,-25.26059200000001,morning glory,0%,0%,
8139.550781,-24.993677000000005,morning glory,0%,0%,
8182.617188,-24.342772000000004,morning glory,0%,0%,
8225.683594,-23.960668999999996,morning glory,0%,0%,
8268.75,-24.797482999999993,morning glory,0%,0%,
8311.816406,-25.05015300000001,morning glory,0%,0%,
8354.882812,-24.451901999999997,morning glory,0%,0%,
8397.949219,-24.49974999999999,morning glory,0%,0%,
8441.015625,-24.730692000000005,morning glory,0%,0%,
8484.082031,-25.532514,morning glory,0%,0%,
8527.148438,-25.120962000000006,morning glory,0%,0%,
8570.214844,-24.979020999999996,morning glory,0%,0%,
8613.28125,-24.605130999999993,morning glory,0%,0%,
8656.347656,-24.138665999999994,morning glory,0%,0%,
8699.414062,-24.919889000000005,morning glory,0%,0%,
8742.480469,-26.117701000000004,morning glory,0%,0%,
8785.546875,-25.220053000000007,morning glory,0%,0%,
8828.613281,-24.901948000000004,morning glory,0%,0%,
8871.679688,-25.684995999999998,morning glory,0%,0%,
8914.746094,-25.739525999999998,morning glory,0%,0%,
8957.8125,-25.096249999999998,morning glory,0%,0%,
9000.878906,-25.249121000000002,morning glory,0%,0%,
9043.945312,-25.393940999999998,morning glory,0%,0%,
9087.011719,-25.630376000000005,morning glory,0%,0%,
9130.078125,-25.166486000000006,morning glory,0%,0%,
9173.144531,-25.115068,morning glory,0%,0%,
9216.210938,-25.481088,morning glory,0%,0%,
9259.277344,-25.703897999999995,morning glory,0%,0%,
9302.34375,-25.707101999999992,morning glory,0%,0%,
