frequency_hz,dB,pedal,gain,tone
4134.375,-10.506099999999996,Morning Glory v4,100%,0%
4177.441406,-10.865172999999999,Morning Glory v4,100%,0%
4220.507812,-10.701733000000004,Morning Glory v4,100%,0%
4263.574219,-10.657950999999997,Morning Glory v4,100%,0%
4306.640625,-10.374504000000002,Morning Glory v4,100%,0%
4349.707031,-10.763377999999996,Morning Glory v4,100%,0%
4392.773438,-10.74353,Morning Glory v4,100%,0%
4435.839844,-11.133354000000004,Morning Glory v4,100%,0%
4478.90625,-11.166327999999993,Morning Glory v4,100%,0%
4521.972656,-11.479717999999998,Morning Glory v4,100%,0%
4565.039062,-11.310775999999997,Morning Glory v4,100%,0%
4608.105469,-11.248809000000001,Morning Glory v4,100%,0%
4651.171875,-11.370231999999994,Morning Glory v4,100%,0%
4694.238281,-11.288612999999998,Morning Glory v4,100%,0%
4737.304688,-11.603958999999996,Morning Glory v4,100%,0%
4780.371094,-11.763008,Morning Glory v4,100%,0%
4823.4375,-11.894146,Morning Glory v4,100%,0%
4866.503906,-11.523155000000003,Morning Glory v4,100%,0%
4909.570312,-11.408347999999997,Morning Glory v4,100%,0%
4952.636719,-11.940700999999997,Morning Glory v4,100%,0%
4995.703125,-11.562934999999996,Morning Glory v4,100%,0%
5038.769531,-11.961536000000002,Morning Glory v4,100%,0%
5081.835938,-12.243499,Morning Glory v4,100%,0%
5124.902344,-11.914379000000004,Morning Glory v4,100%,0%
5167.96875,-12.159084,Morning Glory v4,100%,0%
5211.035156,-12.321461,Morning Glory v4,100%,0%
5254.101562,-12.603682999999997,Morning Glory v4,100%,0%
5297.167969,-12.763011999999996,Morning Glory v4,100%,0%
5340.234375,-12.657485999999999,Morning Glory v4,100%,0%
5383.300781,-12.082313999999997,Morning Glory v4,100%,0%
5426.367188,-12.123086,Morning Glory v4,100%,0%
5469.433594,-12.545548000000004,Morning Glory v4,100%,0%
5512.5,-12.808444999999999,Morning Glory v4,100%,0%
5555.566406,-12.781379999999999,Morning Glory v4,100%,0%
5598.632812,-12.630358999999999,Morning Glory v4,100%,0%
5641.699219,-12.684646999999998,Morning Glory v4,100%,0%
