frequency_hz,dB,pedal,gain,tone
5426.367188,-0.31879200000000196,nobels,100%,50%
5469.433594,-0.4868709999999936,nobels,100%,50%
5512.5,-0.4333740000000006,nobels,100%,50%
5555.566406,-0.46891899999999964,nobels,100%,50%
5598.632812,-0.41963399999999496,nobels,100%,50%
5641.699219,-0.5904639999999972,nobels,100%,50%
5684.765625,-0.5512680000000003,nobels,100%,50%
5727.832031,-0.3343679999999978,nobels,100%,50%
5770.898438,-0.42036199999999724,nobels,100%,50%
5813.964844,-0.2863100000000003,nobels,100%,50%
5857.03125,-0.2362460000000013,nobels,100%,50%
5900.097656,-0.3741059999999976,nobels,100%,50%
5943.164062,-0.332692999999999,nobels,100%,50%
5986.230469,-0.4257220000000004,nobels,100%,50%
6029.296875,-0.7829039999999949,nobels,100%,50%
6072.363281,-0.8824259999999953,nobels,100%,50%
6115.429688,-0.7432500000000033,nobels,100%,50%
6158.496094,-0.6212289999999996,nobels,100%,50%
6201.5625,-0.7493529999999993,nobels,100%,50%
6244.628906,-0.2895949999999985,nobels,100%,50%
6287.695312,-0.44757300000000555,nobels,100%,50%
6330.761719,-0.4685649999999981,nobels,100%,50%
6373.828125,-0.30567800000000034,nobels,100%,50%
6416.894531,-0.24438299999999913,nobels,100%,50%
6459.960938,-0.17636699999999905,nobels,100%,50%
6503.027344,-0.42045399999999944,nobels,100%,50%
6546.09375,-0.5026070000000047,nobels,100%,50%
6589.160156,-0.5309460000000001,nobels,100%,50%
6632.226562,-0.34235499999999774,nobels,100%,50%
6675.292969,-0.4890539999999959,nobels,100%,50%
6718.359375,-0.6999270000000024,nobels,100%,50%
6761.425781,-0.7077649999999949,nobels,100%,50%
6804.492188,-0.5816060000000007,nobels,100%,50%
6847.558594,-0.7226689999999962,nobels,100%,50%
6890.625,-0.7551399999999973,nobels,100%,50%
6933.691406,-0.4048400000000001,nobels,100%,50%
6976.757812,-0.27451500000000095,nobels,100%,50%
7019.824219,-0.5392480000000006,nobels,100%,50%
7062.890625,-0.4192520000000002,nobels,100%,50%
7105.957031,-0.4393519999999995,nobels,100%,50%
7149.023438,-0.5966169999999948,nobels,100%,50%
7192.089844,-0.4558810000000051,nobels,100%,50%
7235.15625,-0.7895600000000016,nobels,100%,50%
7278.222656,-0.7419799999999981,nobels,100%,50%
7321.289062,-0.19061400000000361,nobels,100%,50%
7364.355469,-0.14956400000000514,nobels,100%,50%
7407.421875,-0.4283810000000017,nobels,100%,50%
7450.488281,-0.7000029999999953,nobels,100%,50%
7493.554688,-0.5748989999999949,nobels,100%,50%
7536.621094,-0.6894279999999995,nobels,100%,50%
7579.6875,-0.9816380000000038,nobels,100%,50%
7622.753906,-0.7992229999999978,nobels,100%,50%
7665.820312,-0.371969,nobels,100%,50%
7708.886719,-0.2914749999999984,nobels,100%,50%
7751.953125,-0.4373500000000021,nobels,100%,50%
7795.019531,-0.6832530000000006,nobels,100%,50%
7838.085938,-0.8859309999999994,nobels,100%,50%
7881.152344,-0.769677999999999,nobels,100%,50%
7924.21875,-0.7663589999999942,nobels,100%,50%
7967.285156,-0.7639219999999938,nobels,100%,50%
8010.351562,-1.1647389999999973,nobels,100%,50%
8053.417969,-0.915543999999997,nobels,100%,50%
8096.484375,-0.8260330000000025,nobels,100%,50%
8139.550781,-0.8404749999999979,nobels,100%,50%
8182.617188,-0.6768549999999962,nobels,100%,50%
